identifiant_ctv,objet,typologie,description,date_creation,statut,identifiant,cp_arrondissement,url_lic,date_fin,numero_stv,date_debut,niveau_perturbation,voie,impact_circulation,date_maj,maitre_ouvrage,precision_localisation,impact_circulation_detail,geo_point_2d.lat,geo_point_2d.lon,geo_shape.geometry.type,geo_shape.geometry.coordinates,geo_shape.type
,TRAVAUX_OUVRAGE,2.0,"Adaptation de la station Porte des Lilas pour prolongement ligne 11, dont SAP du 15/03 au 30/09/21.",2017-09-14,2,CP000405,75019,,2021-12-31,10,2017-10-26,1.0,Av de la Porte des Lilas,RESTREINTE,2021-11-16,RATP,,Maintien de 2 files de circulation dans chaque sens,48.8774829595,2.4077033877,Polygon,"[[[2.406983699710445, 48.877040484443604], [2.406780803236834, 48.87734814526721], [2.408279824378731, 48.87792995207227], [2.408598081677292, 48.87749670817099], [2.408241162806398, 48.87739294966936], [2.408077943618673, 48.87743240390899], [2.406983699710445, 48.877040484443604]]]",Feature
,REFECTION_CHAUSSEE,1.0,Réparation du trottoir,2021-10-28,2,CP002179,75008,,2021-10-29,9,2021-10-18,1.0,Rue Lincoln,BARRAGE_TOTAL,2021-10-28,SAGP,à l'angle de l'avenue des Champs Elysées.,entre la rue François 1er et l'avenue des Champs Elysées.,48.8708958751,2.30335968537,Polygon,"[[[2.303367912026035, 48.87098947456624], [2.303469309882944, 48.87095960656923], [2.303445594630234, 48.870952806221744], [2.303308389237528, 48.870801145383695], [2.303261966999833, 48.87081991159502], [2.303377779583557, 48.870952887315035], [2.303380417298506, 48.87097146243341], [2.303367912026035, 48.87098947456624]]]",Feature
,REHABILITATION_IMMEUBLE,1.0,Réhabilitation du Théâtre de la Ville,2019-10-01,2,CP001516,75004,,2022-08-31,11,2019-10-12,1.0,Av Victoria,RESTREINTE,2021-06-29,DCPA,entre la rue Adolphe Adam et la place du Châtelet.,Maintien de 2 files de circulation.,48.8575149662,2.34835395992,Polygon,"[[[2.348194904588667, 48.85758814300805], [2.348538612862081, 48.85749840321287], [2.3485077415143563, 48.85744033853477], [2.348163959147377, 48.857536027046024], [2.348194904588667, 48.85758814300805]]]",Feature
,CONSTRUCTION_IMMEUBLE,3.0,,2020-12-16,2,CP001815,75018,,2022-09-30,9,2020-12-15,2.0,rue du Professeur Gosset,RESTREINTE,2020-12-16,SCCV Les Sources,n°48,maintien d'une file de circulation au droit de l'emprise avec la mise en place de la circulation alternée.,48.9013693704,2.34706288133,Polygon,"[[[2.346739958066636, 48.90139409090215], [2.347403549201458, 48.901395024037015], [2.347428546496916, 48.90134953258954], [2.346716206328207, 48.90134028122995], [2.346739958066636, 48.90139409090215]]]",Feature
,ENTRETIEN_RESEAU,2.0,Renouvellement câbles pour les lignes 11 et 14,2021-06-22,2,CP002039,75012,,2021-10-22,14,2021-07-19,1.0,Quai de la Rapée / Place Mazas,RESTREINTE,2021-09-09,RATP HTA,Côté Seine,Circulation Bus restreinte lors de l'arrêt de camion,48.8454320987,2.3673772299,MultiPolygon,"[[[[2.367812923849634, 48.84547409992482], [2.367926856214436, 48.84541426051849], [2.367893902602693, 48.84539647786339], [2.367814579026863, 48.84545649922736], [2.3677565633358713, 48.84548379576038], [2.367682049218992, 48.84550386595617], [2.367635806884662, 48.84551171216985], [2.36754784191023, 48.8455112471752], [2.3674701280246913, 48.845497987177275], [2.3673926568045403, 48.84546473926392], [2.367177426729303, 48.84537508158387], [2.367061223368184, 48.84532497243896], [2.367023053926715, 48.84538045160163], [2.367257468832967, 48.845434042416066], [2.367523091451638, 48.84553062881589], [2.367645000878119, 48.845526513846885], [2.367812923849634, 48.84547409992482]]], [[[2.367895345541853, 48.84539648548733], [2.367926856214436, 48.84541426051849], [2.367894630523692, 48.84539600594862], [2.367895345541853, 48.84539648548733]]]]",Feature
,REHABILITATION_IMMEUBLE,3.0,,2020-03-09,2,CP001609,75006,,2022-01-31,12,2020-07-02,2.0,rue de Vaugirard,RESTREINTE,2020-06-30,Sénat,entre la rue de Tournon et la rue Garancière.,"Maintien d'une file réduite dans chaque sens.
La rue Garancière sera mise à sens unique en direction de la rue Palatine.",48.8493510507,2.33631271095,Polygon,"[[[2.336008409898228, 48.849564069459575], [2.336033110751795, 48.849380028718265], [2.336099794132965, 48.84935327230715], [2.336758560269391, 48.849379769659876], [2.336764856658318, 48.84933839989748], [2.33653275727, 48.849330450606004], [2.336499212246473, 48.84930313723115], [2.336060221195462, 48.84928975585529], [2.336040521297536, 48.849307731735394], [2.336024517918288, 48.849318588118415], [2.336014259710721, 48.84933138122461], [2.336008309718558, 48.84934562552129], [2.335980307010471, 48.84956248621215], [2.336008409898228, 48.849564069459575]]]",Feature
,REHABILITATION_IMMEUBLE,3.0,Rénovation complète et extension,2020-10-19,2,CP001764,75008,,2023-01-31,9,2020-11-30,2.0,11/13 rue de Monceau,RESTREINTE,2020-10-20,AVRIL,,"Maintien de 4m de circulation
Maintien du contre sens cyclable",48.8756855286,2.30689042189,Polygon,"[[[2.306993062665561, 48.87579099688083], [2.30703311608456, 48.875763150457324], [2.306790957047797, 48.8755809054974], [2.306748721026638, 48.875610167356626], [2.306993062665561, 48.87579099688083]]]",Feature
,REHABILITATION_IMMEUBLE,1.0,,2020-07-31,2,CP001722,75017,http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR Batignolles Mairie 17Ã¨me 2Ã¨me version.pdf,2022-01-14,9,2020-06-29,1.0,Rue des Batignolles,BARRAGE_TOTAL,2021-09-28,SLA,entre le rue des Dames et la rue Mariotte,des Batignolles entre la rue des dames et la rue Mariotte. Le rue des Batignolles est mise en sens unique depuis la rue des Dames vers le bd des Batignolles. La rue Mariotte est inversée.,48.8843607124,2.32189817,Polygon,"[[[2.322336416508151, 48.88411373621228], [2.322244620088799, 48.88409774990033], [2.321550069638668, 48.88451379591118], [2.321607266525214, 48.88455457103215], [2.321651960837557, 48.88458575766545], [2.322008388456657, 48.88436767418869], [2.321969075109956, 48.8843388977865], [2.322336416508151, 48.88411373621228]]]",Feature
433168,ENTRETIEN_RESEAU,2.0,Renouvellement de réseau,2021-08-09,2,CP002128,75010,,2021-12-17,11,2021-08-16,1.0,Rue Lafayette,RESTREINTE,2021-10-21,RATP HTA,Du 169 au 197,"Du 16/08 au 03/09:
Fermeture de rue Philippe de Girard du N°2 au N°10
Mise en impasse rue Philippe de Girard depuis le N°10 vers le N°2",48.8803414565,2.36079511262,MultiPolygon,"[[[[2.359274106341225, 48.87998579408255], [2.362344603395225, 48.88077473646686], [2.3622837112846, 48.88068928778688], [2.359302093180792, 48.879921498666505], [2.359274106341225, 48.87998579408255]]], [[[2.362344603395225, 48.88077473646686], [2.362347752307623, 48.88077915456237], [2.362347796361882, 48.88077555657542], [2.362344603395225, 48.88077473646686]]]]",Feature
,REAMENAGEMENT_VOIRIE,1.0,Pérennisation de la piste cyclable,2021-09-21,2,CP002148,75011,http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR RÃ©publique phase 2.pdf,2021-12-23,10,2021-10-04,1.0,Avenue de la République,SENS_UNIQUE,2021-09-21,Mission vélo,entre bd Richard Lenoir et av Parmentier,depuis bd R. Lenoir jusqu'à av Parmentier.,48.8657171033,2.3721208881,Polygon,"[[[2.369698647786767, 48.866272040672584], [2.374216581222716, 48.86544005711743], [2.374465289900359, 48.865160315575594], [2.369865060542106, 48.86604150011102], [2.369698647786767, 48.866272040672584]]]",Feature
